DRUGS_ID;“ËÔ;202101001;202101002;202101003;202101004;202101005;202101006
378889;VOLUME;15469381,09;13139386,9;20332993,8;17095220,77;14754189,91;15319229,29
;QUANTITY;18508,3412;15100,25906;23146,91355;20722,49997;16991,41286;19063,07441
378890;VOLUME;1683709,685;649402,2979;1776829,47;1326704,937;445159,8542;538983,9842
;QUANTITY;1763,150815;924,8347527;2569,661148;1615,855927;508,2062813;619,5544965
378900;VOLUME;16442228,21;19811348,11;16733341,55;16985459,58;13874267,06;14546210,07
;QUANTITY;41215,77271;47819,64353;43327,25315;46117,56936;33231,68143;37485,50492
378904;VOLUME;2226666,827;1528944,338;163568,9162;112556,2803;103115,3818;112746,8135
;QUANTITY;11909,28577;8443,969549;845,247855;644,6348329;500,1512529;599,1676958
378905;VOLUME;4081851,735;4451952,433;300174,6488;118373,5058;143332,3963;151274,5197
;QUANTITY;12505,5089;13686,17509;852,0144283;327,0777826;370,987186;374,679026
378908;VOLUME;80737411,22;61366797,55;48244066,66;37927707,37;29999069,88;52568975,08
;QUANTITY;290754,7483;200603,3981;166179,9875;135505,6559;105426,813;188240,8074
378909;VOLUME;296993286,2;215659335,4;165082456,9;133499105,1;112222011;214142045,8
;QUANTITY;487657,5917;405216,4788;298427,8996;255150,1479;190800,1243;396929,6854
378910;VOLUME;85924003,01;74091771,28;60052944,37;55353278,19;42922334,12;106878298,1
;QUANTITY;79780,85163;72556,39888;59036,84494;51046,69925;40897,22176;97452,58143
378916;VOLUME;19645418,96;24829023,37;31507861,64;12318512,36;11536081,19;7948540,275
;QUANTITY;32677,75354;44630,49836;66396,70244;24135,62324;23557,22277;15831,53173
378917;VOLUME;5632,808806;3507,955823;11258,66365;34588,60672;10872,71739;14817,38824
;QUANTITY;9,282226229;7,60854863;19,68385588;57,10506326;19,05570346;27,6523273
378919;VOLUME;1974,490365;;12870,03452;11903,36371;786,5597728;3147,130374
;QUANTITY;1,886761944;;14,12332617;12,3752015;0,867537174;2,87621897
382626;VOLUME;64037,70892;225742,7696;428643,7891;516886,1555;1312360,265;1895758,244
;QUANTITY;273,3558163;970,0420773;1866,708295;2291,865405;5746,596666;8250,805016
391803;VOLUME;19063067,74;21899623,5;23266401,49;22932699,29;24472877,59;28431938,34
;QUANTITY;89800,22336;99150,48458;108457,641;101826,4736;114799,0904;136902,1251
399794;VOLUME;27420611,59;9184621,906;4428179,746;3218251,683;2775531,94;2737576,697
;QUANTITY;15333,14806;4877,945546;2334,227459;1642,990244;1428,03584;1516,012116
429760;VOLUME;132818,5542;148827,3281;206574,5072;231706,0483;301759,7573;229462,1145
;QUANTITY;158,6010287;189,4018333;233,0355739;273,3746963;376,1991379;275,0812163
436839;VOLUME;;7482,02725;;;3806,053394;2821,995609
;QUANTITY;;6,698415812;;;3,567570655;2,575741207
440251;VOLUME;25751648,07;27507436,82;33195462,87;30935292,38;31482342,44;31894793,04
;QUANTITY;108525,5735;127635,5376;147459,5763;131498,6267;144429,6826;155852,6519
440263;VOLUME;593693,4196;648122,0494;500345,4247;600464,2041;532717,5565;556475,9304
;QUANTITY;3399,007877;3701,12893;2941,413099;3519,719627;2850,55523;3454,684367
440268;VOLUME;1057985,77;1445376,35;875584,4614;1197003,838;1197984,591;1177561,041
;QUANTITY;3651,493231;4680,590327;2904,060681;4325,671247;4146,569728;4138,025095
442574;VOLUME;232792344,3;233361321,8;265827955,2;282344628,5;266242876,8;312549845,3
;QUANTITY;167782,9295;151434,4088;175910,2483;191795,1132;180750,2397;204383,3406
442576;VOLUME;162327661,5;;;;;
;QUANTITY;57686,44697;;;;;
466768;VOLUME;15852339,15;14898609,17;13479651,47;17339150,03;16801636,02;16203154,89
;QUANTITY;59743,11914;58958,72664;53071,96455;63733,52511;61308,26361;57966,37174
468162;VOLUME;70942876,84;27470232,09;34614900,71;36288901,13;43984575,32;33290906,68
;QUANTITY;227664,0947;86378,86533;98815,22768;119201,5022;141092,1747;94642,18628
481131;VOLUME;21788078,6;17994193,98;22320707,29;18635398,59;18639131,93;20297891,01
;QUANTITY;22845,50091;18935,50711;21924,86132;19480,77164;21121,72477;21892,55337
482669;VOLUME;81597055,86;82775885,8;84236106,58;65438150,02;47077265,91;47882883,53
;QUANTITY;36119,35208;37655,31634;36475,72903;29703,31147;19893,82906;21375,80833
492993;VOLUME;71560,65766;94898,69959;130971,248;69204,04182;44800,04973;95657,37078
;QUANTITY;124,6943462;172,4904382;240,0480466;186,1871772;96,91691935;166,3486803
492995;VOLUME;48797,59485;31573,8087;227819,5227;216779,6326;150521,3245;113066,2495
;QUANTITY;91,44478998;90,14011029;437,1841324;424,7955734;301,8521614;202,5207526
492996;VOLUME;3856,559134;6971,174798;;;;
;QUANTITY;3,894;7,358708507;;;;
493046;VOLUME;38907,99849;;74450,94308;15913,89003;24109,02504;43968,31884
;QUANTITY;97,26485546;;176,1148108;36,21561018;57,01091327;104,8787585
504354;VOLUME;546689,7159;562286,4698;271070,7412;99578,06534;78098,04553;80523,64213
;QUANTITY;695,6168949;610,6612316;297,7470293;109,7798855;87,95819772;95,06775706
504355;VOLUME;1777631,153;982903,2507;4862751,554;39216694,3;41270551,36;44442164,6
;QUANTITY;1137,508684;586,5272813;2961,425776;25221,16082;25888,30968;27772,05696
509285;VOLUME;19409,02416;19626,62545;35693,91534;38526,81806;42828,05823;19778,70625
;QUANTITY;125,6341944;123,9087102;209,9538213;257,1812962;285,1623179;157,4062824
509287;VOLUME;17075,39233;20723,63927;21820,21112;17129,415;25251,01976;16327,84117
;QUANTITY;109,8968983;156,6254391;160,1874587;123,0916318;194,3131277;136,6961335
528351;VOLUME;11924329,56;9352237,487;8499457,436;10596467,96;7834216,026;9922805,714
;QUANTITY;58936,00759;47639,90234;41216,78322;55058,30132;41065,27091;51731,54068
528352;VOLUME;16798730,62;16877502,57;17505911,36;28637347,84;21672648,77;28340286,87
;QUANTITY;50314,33763;48610,74872;52044,40937;83867,26652;66288,48149;89940,57036
528355;VOLUME;5699934,571;4720091,591;4017198,39;287382,3545;;
;QUANTITY;29151,07233;23731,64063;20276,88684;1474,537595;;
